Instituicao,Data,RWA_Credito,RWA_Mercado,RWA_Operacional,Capital_Principal,Alavancagem,PIB,IPCA,Spread,NPL,Estresse_Alto,RWA_Credito_lag4,RWA_Mercado_lag4,RWA_Operacional_lag4,Capital_Principal_lag4,Alavancagem_lag4,PIB_lag4,IPCA_lag4,Spread_lag4,Prob_Estresse,Log_Odds_Estresse,Score_Robustez
SOFISA - PRUDENCIAL,2022-09-01,6452998.0,64527.0,465523.0,0.1281,0.0911,179.54,-1.3245430992000151,27.44,0.0173642959788548,0,5325166.0,13079.0,487930.0,0.1467,0.0932,172.27,3.0196768831999954,21.08666666666667,0.01420605109921574,-4.239779348505733,4.239779348505733
SOFISA - PRUDENCIAL,2022-12-01,6953856.0,41326.0,465523.0,0.1247,0.0861,180.33,1.6286339977999995,29.036666666666665,0.0189959624242553,0,5714983.0,61744.0,487930.0,0.125,0.0898,174.3,2.958021687500012,22.62,0.011725209297001547,-4.434219622756904,4.434219622756904
SOFISA - PRUDENCIAL,2023-03-01,6995396.0,46645.0,491751.0,0.127,0.0883999999999999,182.74,2.094210609200031,30.19,0.0208554442198647,0,5405568.0,24220.0,463806.0,0.1377,0.0911999999999999,175.72,3.2006523548000043,24.72,0.01234007244490189,-4.382486546520653,4.382486546520653
SOFISA - PRUDENCIAL,2023-06-01,7113144.0,74479.0,491751.0,0.1276,0.0847,184.28,0.760729877599986,32.02333333333333,0.0236064088288986,0,6200390.0,19323.0,463806.0,0.1264,0.0853999999999999,177.81,2.215266379399994,25.546666666666667,0.008262642699776614,-4.78771383574087,4.78771383574087
SOFISA - PRUDENCIAL,2023-09-01,7095761.0,18171.0,471368.0,0.1311999999999999,0.0816,184.44,0.6111867176000096,31.51333333333333,0.037031150625518,0,6452998.0,64527.0,465523.0,0.1281,0.0911,179.54,-1.3245430992000151,27.44,0.006782269106668539,-4.986638183403839,4.986638183403839
SOFISA - PRUDENCIAL,2023-12-01,7898042.0,32766.0,471368.0,0.1211999999999999,0.0753,185.03,1.083587763199989,30.41333333333333,0.0358342532589842,0,6953856.0,41326.0,465523.0,0.1247,0.0861,180.33,1.6286339977999995,29.036666666666665,0.005668417683361519,-5.167160724347309,5.167160724347309
SOFISA - PRUDENCIAL,2024-03-01,7994576.0,179279.0,508465.0,0.1177999999999999,0.075,186.65,1.415491577599992,29.896666666666665,0.0430461812288207,0,6995396.0,46645.0,491751.0,0.127,0.0883999999999999,182.74,2.094210609200031,30.19,0.005273372164362088,-5.239797916312382,5.239797916312382
SOFISA - PRUDENCIAL,2024-06-01,8075703.0,28695.0,508465.0,0.1206,0.0742,189.49,1.053515670799987,29.07333333333333,0.0331617645459905,0,7113144.0,74479.0,491751.0,0.1276,0.0847,184.28,0.760729877599986,32.02333333333333,0.0046841126313417565,-5.358883670196718,5.358883670196718
SOFISA - PRUDENCIAL,2024-09-01,8234427.0,55999.0,537508.0,0.1217999999999999,0.0735,190.99,0.8015076655999875,28.473333333333333,0.0344390750353099,0,7095761.0,18171.0,471368.0,0.1311999999999999,0.0816,184.44,0.6111867176000096,31.51333333333333,0.004514565566454329,-5.395921529904785,5.395921529904785
SOFISA - PRUDENCIAL,2024-12-01,8399338.0,22803.0,537508.0,0.1206,0.0693,191.11,1.47713535680003,27.96,0.0334725854722639,0,7898042.0,32766.0,471368.0,0.1211999999999999,0.0753,185.03,1.083587763199989,30.41333333333333,0.0032498999007138855,-5.7258758907004745,5.7258758907004745
