Instituicao,Data,RWA_Credito,RWA_Mercado,RWA_Operacional,Capital_Principal,Alavancagem,PIB,IPCA,Spread,NPL,Estresse_Alto_P90,RWA_Credito_lag4,RWA_Mercado_lag4,RWA_Operacional_lag4,Capital_Principal_lag4,Alavancagem_lag4,PIB_lag4,IPCA_lag4,Spread_lag4,Prob_Estresse_P90,Log_Odds_Estresse_P90,Score_Robustez_P90,Alerta_Estresse
PARANÁ BANCO - PRUDENCIAL,2020-12-01,3680653.0,0.0,465352.0,0.2312999999999999,0.1124,171.47,3.131382328999988,20.72,0.0265095070006886,0,2643177.0,0.0,1133891.0,0.206,0.1534,171.91,1.767530865000011,29.096666666666664,0.1380224102790362,-1.831813207139044,1.831813207139044,0
PARANÁ BANCO - PRUDENCIAL,2021-03-01,3609627.0,0.0,489681.0,0.2628,0.129,173.12,2.052492994999988,22.403333333333336,0.0275018358687653,0,2863118.0,0.0,1146619.0,0.1888,0.1646,168.09,0.5308473674999981,28.24,0.1341377005695106,-1.864858999943628,1.864858999943628,0
PARANÁ BANCO - PRUDENCIAL,2021-06-01,3665172.0,0.0,489681.0,0.2568,0.1298,172.06,1.6786286369000036,21.46333333333333,0.0253115955490525,0,3228358.0,0.0,1146619.0,0.2157,0.153,153.27,-0.4306129372000034,24.44333333333333,0.12424135502459,-1.952864448364416,1.952864448364416,0
PARANÁ BANCO - PRUDENCIAL,2021-09-01,3730203.0,0.0,558525.0,0.2519,0.1271,172.27,3.0196768831999954,21.08666666666667,0.021828244793819,0,3501029.0,0.0,465352.0,0.2386,0.1231,165.34,1.2447095295999857,21.71666666666667,0.066046450291989,-2.6490684176689085,2.6490684176689085,0
PARANÁ BANCO - PRUDENCIAL,2021-12-01,3724177.0,0.0,558525.0,0.2235,0.1167,174.3,2.958021687500012,22.62,0.0170587924181749,0,3680653.0,0.0,465352.0,0.2312999999999999,0.1124,171.47,3.131382328999988,20.72,0.0597420523079407,-2.7561180839670003,2.7561180839670003,0
PARANÁ BANCO - PRUDENCIAL,2022-03-01,3809818.0,0.0,648987.0,0.2263,0.1222,175.72,3.2006523548000043,24.72,0.0172559416949429,0,3609627.0,0.0,489681.0,0.2628,0.129,173.12,2.052492994999988,22.403333333333336,0.0574487772954771,-2.7976965445136885,2.7976965445136885,0
PARANÁ BANCO - PRUDENCIAL,2022-06-01,3868524.0,0.0,648987.0,0.2223,0.1208,177.81,2.215266379399994,25.546666666666667,0.017266644872592,0,3665172.0,0.0,489681.0,0.2568,0.1298,172.06,1.6786286369000036,21.46333333333333,0.0558905723177735,-2.826846365384363,2.826846365384363,0
PARANÁ BANCO - PRUDENCIAL,2022-09-01,3891612.0,0.0,821860.0,0.1997,0.1117,179.54,-1.3245430992000151,27.44,0.0159167105629611,0,3730203.0,0.0,558525.0,0.2519,0.1271,172.27,3.0196768831999954,21.08666666666667,0.0592285538818338,-2.7652964714586568,2.7652964714586568,0
PARANÁ BANCO - PRUDENCIAL,2022-12-01,3930947.0,0.0,821860.0,0.1934,0.1099,180.33,1.6286339977999995,29.036666666666665,0.0169888608092579,0,3724177.0,0.0,558525.0,0.2235,0.1167,174.3,2.958021687500012,22.62,0.0623145674934108,-2.711219306461614,2.711219306461614,0
PARANÁ BANCO - PRUDENCIAL,2023-03-01,4048571.0,0.0,969758.0,0.1813,0.1065,182.74,2.094210609200031,30.19,0.0172923199563907,0,3809818.0,0.0,648987.0,0.2263,0.1222,175.72,3.2006523548000043,24.72,0.065645575911484,-2.6555856259332997,2.6555856259332997,0
PARANÁ BANCO - PRUDENCIAL,2023-06-01,4203002.0,0.0,969758.0,0.1691,0.0989,184.28,0.760729877599986,32.02333333333333,0.0163507017116298,0,3868524.0,0.0,648987.0,0.2223,0.1208,177.81,2.215266379399994,25.546666666666667,0.0615027526741956,-2.725197990330769,2.725197990330769,0
PARANÁ BANCO - PRUDENCIAL,2023-09-01,4277590.0,0.0,1121875.0,0.1601,0.0955,184.44,0.6111867176000096,31.51333333333333,0.0162589285020803,0,3891612.0,0.0,821860.0,0.1997,0.1117,179.54,-1.3245430992000151,27.44,0.0601540581325948,-2.748807063287372,2.748807063287372,0
PARANÁ BANCO - PRUDENCIAL,2023-12-01,4307488.0,0.0,1121875.0,0.1572,0.0971,185.03,1.083587763199989,30.41333333333333,0.015474733266873,0,3930947.0,0.0,821860.0,0.1934,0.1099,180.33,1.6286339977999995,29.036666666666665,0.0696001103114777,-2.5928483304742875,2.5928483304742875,0
PARANÁ BANCO - PRUDENCIAL,2024-03-01,4407310.0,0.0,1207637.0,0.1542,0.1002,186.65,1.415491577599992,29.896666666666665,0.0154242980493287,0,4048571.0,0.0,969758.0,0.1813,0.1065,182.74,2.094210609200031,30.19,0.0735856540308328,-2.532871503848283,2.532871503848283,0
PARANÁ BANCO - PRUDENCIAL,2024-06-01,4523184.0,0.0,1207637.0,0.1533,0.0957,189.49,1.053515670799987,29.07333333333333,0.0136675562444747,0,4203002.0,0.0,969758.0,0.1691,0.0989,184.28,0.760729877599986,32.02333333333333,0.0688787013139518,-2.604042551882382,2.604042551882382,0
PARANÁ BANCO - PRUDENCIAL,2024-09-01,4684871.0,0.0,1242304.0,0.1494,0.0962,190.99,0.8015076655999875,28.473333333333333,0.0119820265622146,0,4277590.0,0.0,1121875.0,0.1601,0.0955,184.44,0.6111867176000096,31.51333333333333,0.0712826350244789,-2.5671517071548875,2.5671517071548875,0
PARANÁ BANCO - PRUDENCIAL,2024-12-01,4821943.0,0.0,1242304.0,0.1519,0.0953,191.11,1.47713535680003,27.96,0.0120903935470578,0,4307488.0,0.0,1121875.0,0.1572,0.0971,185.03,1.083587763199989,30.41333333333333,0.0698849531322415,-2.5884579216177683,2.5884579216177683,0
PERNAMBUCANAS - PRUDENCIAL,2017-03-01,3129810.0,462.0,335206.0,0.1033999999999999,0.0,164.34,0.9630321349999972,41.17333333333333,0.2283690609754139,1,2301633.0,0.0,256098.0,0.1217,0.0,163.26,2.6208101489999747,35.07,0.1451595757997338,-1.7730811532262494,1.7730811532262494,0
